Provider Name,AHFoZ Number,Registration Number,Provider Type,Speciality,Medical Aid Accepted,Organisation,Address,City,Province,Phone,Mobile,Email,Website,Contact Person,Latitude,Longitude,Source URL,Source Title,Last Verified,Notes
24 HR ST. MARYS MEDICAL CENTRE,50649,,Hospital,,PSMAS,PSMAS Network,HURUYADZO SHOPPING CENTRE,Chitungwiza,Harare,0270230270,0270230270,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/HARARE-PROVIDER-NETWORK-07-26.pdf,PSMAS Provider Network PDF - HARARE-PROVIDER-NETWORK-07-26,2026-07-27,Section: HOSPITALS | Imported from repository PSMAS Excel | Section: HOSPITALS
3 J'S HOLDINGS PVT LTD,93004,,Private Hospital,,PSMAS,PSMAS Network,16925 KUWADZANA 2,Harare,Harare,02422709992,772819786,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/HARARE-PROVIDER-NETWORK-07-26.pdf,PSMAS Provider Network PDF - HARARE-PROVIDER-NETWORK-07-26,2026-07-27,Section: PRIVATE HOSPITALS | Imported from repository PSMAS Excel | Section: WELLNESS PROVIDERS
6TH STREET DENTAL CLINIC,708872,,Dentist,Dentistry,PSMAS,PSMAS Network,34 6TH STREET GWERU,Gweru,Midlands,0542226649,0542226649,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/MIDLANDS-PROVIDER-NETWORK-07-26.pdf,PSMAS Provider Network PDF - MIDLANDS-PROVIDER-NETWORK-07-26,2026-07-27,Section: DENTIST | Imported from repository PSMAS Excel | Section: DENTIST
ABSOLUTE DENTAL,70432,,Dentist,Dentistry,PSMAS,PSMAS Network,56B 1ST STREET,Marondera Cbd,Mashonaland East,,772832916,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/MASHONALAND-EAST-NETWORK-07-26.pdf,PSMAS Provider Network PDF - MASHONALAND-EAST-NETWORK-07-26,2026-07-27,Section: DENTAL | Imported from repository PSMAS Excel | Section: DENTAL
ABSOLUTE DENTAL CLINIC,749069,,Dentist,Dentistry,PSMAS,PSMAS Network,8415 INYATHI DRIVE,Chiredzi Town,Masvingo,,782091718,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/MASVINGO-PROVIDERS-LIST-07-26.pdf,PSMAS Provider Network PDF - MASVINGO-PROVIDERS-LIST-07-26,2026-07-27,Section: DENTISTS
ACCESS CLINICAL LABORATORY,290076,,Laboratory,,PSMAS,PSMAS Network,19 BAINES AVENUE,Avenues,Harare,242250632,719835108,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/HARARE-PROVIDER-NETWORK-07-26.pdf,PSMAS Provider Network PDF - HARARE-PROVIDER-NETWORK-07-26,2026-07-27,Section: LABORATORIES | Imported from repository PSMAS Excel | Section: LABORATORIES
ACCESS SPORTS MANAGEMENT,93003,,Private Hospital,ENT,PSMAS,PSMAS Network,"305-3RD ROAD, OLD SHELL",Harare,Harare,,777288024,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/HARARE-PROVIDER-NETWORK-07-26.pdf,PSMAS Provider Network PDF - HARARE-PROVIDER-NETWORK-07-26,2026-07-27,Section: PRIVATE HOSPITALS | Imported from repository PSMAS Excel | Section: WELLNESS PROVIDERS
ACCURALABORATORY AND DIAGNOSTIC SERVICES,291145,,Laboratory,,PSMAS,PSMAS Network,"SUITE 18/18 CECIL CHAMBERS,89 H*CHITEPO",Cbd,Manicaland,202065199,0775052715 / 0773057644,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/MANICALAND-NETWORK-07-26.pdf,PSMAS Provider Network PDF - MANICALAND-NETWORK-07-26,2026-07-27,Section: LABORATORIES | Imported from repository PSMAS Excel | Section: LABORATORIES
ACI MEDICAL CENTRE,12351,,Doctor,General Practitioner,PSMAS,PSMAS Network,1009 1ST STREET HATCLIFF SHOPPING CENTRE,Hatcliffe,Harare,713466391,777728967,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/PSMAS-PROVIDER-NETWORK-LIST-07-26.pdf,PSMAS Provider Network PDF - PSMAS-PROVIDER-NETWORK-LIST-07-26,2026-07-27,Section: GENERAL PRACTITIONERS | Section: PHARMACIES | Imported from repository PSMAS Excel
ACTIVE LIFE PHYSIOTHERAPY CLINIC,341071,,Rehabilitation Centre,Physiotherapy,PSMAS,PSMAS Network,7 DENMARK ROAD,Harare,Harare,,773948113 / 773789819,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/HARARE-PROVIDER-NETWORK-07-26.pdf,PSMAS Provider Network PDF - HARARE-PROVIDER-NETWORK-07-26,2026-07-27,Section: PHYSIOTHERAPY | Imported from repository PSMAS Excel | Section: PHYSIOTHERAPY
